Executor,Executor-Class Star Dreadnought,"Kuat Drive Yards, Fondor Shipyards",1143350000,19000,,279144,38000,250000000,6 Years,2,40,Star Dreadnought
Sentinel-Class Landing Craft,Sentinel-Class Landing Craft,"Sienar Fleet Systems, Cyngus Spaceworks",240000,38,1000,5,75,180000,1 Month,1,70,Landing Craft
Death Star,DS-1 Orbital Battle Station,"Imperial Department Of Military Research, Sienar Fleet Systems",1E+12,120000,,342953,843342,1E+12,3 Years,4,10,Deep Space Mobile Battlestation
Millennium Falcon,YT-1300 Light Freighter,Corellian Engineering Corporation,100000,34.37,1050,4,6,100000,2 Months,0.5,75,Light Freighter
Y-Wing,BTL Y-Wing,Koensayr Manufacturing,134999,14,1000,2,0,110,1 Week,1,80,Assault Starfighter
X-Wing,T-65 X-Wing,Incom Corporation,149999,12.5,1050,1,0,110,1 Week,1,100,Starfighter
TIE Advanced X1,Twin Ion Engine Advanced X1,Sienar Fleet Systems,,9.2,1200,1,0,150,5 Days,1,105,Starfighter
Slave 1,Firespray-31-Class Patrol And Attack,Kuat Systems Engineering,,21.5,1000,1,6,70000,1 Month,3,70,Patrol Craft
Imperial Shuttle,Lambda-Class T-4a Shuttle,Sienar Fleet Systems,240000,20,850,6,20,80000,2 Months,1,50,Armed Government Transport
EF76 Nebulon-B Escort Frigate,EF76 Nebulon-B Escort Frigate,Kuat Drive Yards,8500000,300,800,854,75,6000000,2 Years,2,40,Escort Ship
Calamari Cruiser,MC80 Liberty Type Star Cruiser,Mon Calamari Shipyards,104000000,1200,,5400,1200,,2 Years,1,60,Star Cruiser
A-Wing,RZ-1 A-Wing Interceptor,"Alliance Underground Engineering, Incom Corporation",175000,9.6,1300,1,0,40,1 Week,1,120,Starfighter
B-Wing,A/SF-01 B-Wing Starfighter,Slayn & Korpil,220000,16.9,950,1,0,45,1 Week,2,91,Assault Starfighter
Republic Cruiser,Consular-Class Cruiser,Corellian Engineering Corporation,,115,900,9,16,,,2,,Space Cruiser
Naboo Fighter,N-1 Starfighter,Theed Palace Space Vessel Engineering Corps,200000,11,1100,1,0,65,7 Days,1,,Starfighter
Naboo Royal Starship,J-Type 327 Nubian Royal Starship,"Theed Palace Space Vessel Engineering Corps, Nubia Star Drives",,76,920,8,,,,1.8,,Yacht
Scimitar,Star Courier,Republic Sienar Systems,55000000,26.5,1180,1,6,2500000,30 Days,1.5,,Space Transport
J-Type Diplomatic Barge,J-Type Diplomatic Barge,"Theed Palace Space Vessel Engineering Corps, Nubia Star Drives",2000000,39,2000,5,10,,1 Year,0.7,,Diplomatic Barge
AA-9 Coruscant Freighter,Botajef AA-9 Freighter-Liner,Botajef Shipyards,,390,,,30000,,,,,Freighter
Jedi Starfighter,Delta-7 Aethersprite-Class Interceptor,Kuat Systems Engineering,180000,8,1150,1,0,60,7 Days,1,,Starfighter
H-Type Nubian Yacht,H-Type Nubian Yacht,Theed Palace Space Vessel Engineering Corps,,47.9,8000,4,,,,0.9,,Yacht
Star Destroyer,Imperial I-Class Star Destroyer,Kuat Drive Yards,150000000,1600,975,47060,0,36000000,2 Years,2,60,Star Destroyer
Trade Federation Cruiser,Providence-Class Carrier/Destroyer,"Rendili StarDrive, Free Dac Volunteers Engineering Corps.",125000000,1088,1050,600,48247,50000000,4 Years,1.5,,Capital Ship
Theta-Class T-2c Shuttle,Theta-Class T-2c Shuttle,Cygnus Spaceworks,1000000,18.5,2000,5,16,50000,56 Days,1,,Transport
T-70 X-Wing Fighter,T-70 X-Wing Fighter,Incom,,,,1,,,,,,Fighter
Rebel Transport,GR-75 Medium Transport,"Gallofree Yards, Inc.",,90,650,6,90,19000000,6 Months,4,20,Medium Transport
Droid Control Ship,Lucrehulk-Class Droid Control Ship,"Hoersch-Kessel Drive, Inc.",,3170,,175,139000,4000000000,500 Days,2,,Droid Control Ship
Republic Assault Ship,Acclamator I-Class Assault Ship,Rothana Heavy Engineering,,752,,700,16000,11250000,2 Years,0.6,,Assault Ship
Solar Sailer,Punworcca 116-Class Interstellar Sloop,Huppla Pasa Tisc Shipwrights Collective,35700,15.2,1600,3,11,240,7 Days,1.5,,Yacht
Republic Attack Cruiser,Senator-Class Star Destroyer,"Kuat Drive Yards, Allanteen Six Shipyards",59000000,1137,975,7400,2000,20000000,2 Years,1,,Star Destroyer
Naboo Star Skiff,J-Type Star Skiff,"Theed Palace Space Vessel Engineering Corps/Nubia Star Drives, Incorporated",,29.2,1050,3,3,,,0.5,,Yacht
Jedi Interceptor,Eta-2 Actis-Class Light Interceptor,Kuat Systems Engineering,320000,5.47,1500,1,0,60,2 Days,1,,Starfighter
Arc-170,Aggressive Reconnaissance-170 Starfighte,"Incom Corporation, Subpro Corporation",155000,14.5,1000,3,0,110,5 Days,1,100,Starfighter
Belbullab-22 Starfighter,Belbullab-22 Starfighter,Feethan Ottraw Scalable Assemblies,168000,6.71,1100,1,0,140,7 Days,6,,Starfighter
V-Wing,Alpha-3 Nimbus-Class V-Wing Starfighter,Kuat Systems Engineering,102500,7.9,1050,1,0,60,15 Hours,1,,Starfighter
CR90 Corvette,CR90 Corvette,Corellian Engineering Corporation,3500000,150,950,165,600,3000000,1 Year,2,60,Corvette
Banking Clan Frigate,Munificent-Class Star Frigate,"Hoersch-Kessel Drive, Inc, Gwori Revolutionary Industries",57000000,825,,200,,40000000,2 Years,1,,Cruiser
